0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
10.23,10.72,14.14,27.36,21.87,27.74,29.91,12.35,33.73,34.12,35.89,31.12,16.59,8.82,33.8,34.16,33.6,34.81,34.41,36.08,36.24,38.21,35.7,33.78,37.89,32.67,34.34,14.46,34.89,35.3,0.0,15.73,15.91,19.43,23.14,23.8,17.84,6.6,34.92,26.95,26.43,36.08,36.08,29.47,201.58,46.49,0.0,9.9,10.05,36.46,37.13,38.18,38.18,36.29,36.29,34.32
15.6,2.7,7.7,19.93,15.42,20.31,22.49,17.72,26.3,26.69,28.46,23.69,10.15,18.38,26.38,26.74,26.17,27.38,26.98,28.65,28.82,30.79,28.27,26.36,30.46,25.24,26.91,9.96,27.46,27.88,9.55,22.93,17.74,12.0,15.71,16.38,11.4,12.64,27.49,19.52,19.0,28.65,28.65,22.04,194.15,39.06,9.55,0.0,2.35,29.03,29.7,30.75,30.75,28.86,28.86,26.89
14.52,3.66,6.18,17.53,13.91,21.46,23.63,16.64,24.14,24.53,26.3,21.97,8.64,17.3,24.65,25.01,24.44,25.65,25.26,26.92,29.96,32.15,29.64,27.72,31.83,26.61,28.28,8.45,28.61,29.02,8.48,24.21,19.61,13.37,17.08,17.74,9.88,11.56,25.76,20.66,20.14,26.92,26.92,23.19,195.52,37.33,8.48,3.11,0.0,27.3,27.97,29.02,29.02,27.13,27.13,28.03
36.81,27.27,21.78,12.25,14.32,17.67,18.21,39.87,8.93,9.32,4.46,6.3,20.86,44.43,2.9,2.48,3.21,1.67,3.0,2.02,9.53,40.76,38.24,36.33,22.27,35.21,30.64,24.98,13.03,11.77,35.6,49.29,44.1,26.46,25.68,26.35,22.09,38.95,3.44,10.19,10.34,2.02,2.02,13.26,204.12,12.61,35.6,28.98,27.39,0.0,3.24,4.12,4.12,2.23,2.23,7.61
37.54,28.0,22.51,12.98,15.05,18.4,18.94,40.6,9.66,10.05,5.14,7.03,21.59,45.16,5.87,5.46,5.66,4.64,5.97,5.0,12.51,41.49,38.97,37.06,24.64,35.94,31.37,25.71,16.01,14.75,36.33,50.02,44.83,27.19,26.41,27.08,22.82,39.68,6.42,10.92,11.07,5.0,5.0,20.02,204.85,10.66,36.33,29.71,28.12,3.19,0.0,7.1,7.1,5.21,5.21,10.58
38.62,29.07,23.59,14.06,16.13,13.1,12.12,41.67,10.74,11.13,8.38,8.1,22.66,46.23,4.66,4.24,4.97,3.43,3.57,2.86,9.53,35.22,32.71,30.79,22.27,27.49,26.07,26.78,13.03,11.77,37.41,51.09,45.9,28.27,23.3,23.96,23.89,40.75,4.07,12.0,12.15,2.86,2.86,13.26,193.43,16.52,37.41,30.78,29.19,4.13,7.16,0.0,0.0,1.96,3.08,7.6
38.62,29.07,23.59,14.06,16.13,13.1,12.12,41.67,10.74,11.13,8.38,8.1,22.66,46.23,4.66,4.24,4.97,3.43,3.57,2.86,9.53,35.22,32.71,30.79,22.27,27.49,26.07,26.78,13.03,11.77,37.41,51.09,45.9,28.27,23.3,23.96,23.89,40.75,4.07,12.0,12.15,2.86,2.86,13.26,193.43,16.52,37.41,30.78,29.19,4.13,7.16,0.0,0.0,1.96,3.08,7.6
36.72,27.18,21.69,12.16,14.23,17.59,11.07,39.78,8.84,9.23,6.49,6.21,20.77,44.34,2.76,2.35,3.07,1.53,1.95,0.97,8.48,40.67,38.16,36.24,21.22,35.12,30.55,24.89,11.98,10.72,35.52,49.2,44.01,26.37,25.59,26.26,22.0,38.86,2.39,10.11,10.25,0.97,0.97,12.21,192.38,14.63,35.52,28.89,27.3,2.24,5.27,1.96,1.96,0.0,1.18,6.56
36.72,27.18,21.69,12.16,14.23,11.23,10.25,39.78,8.84,9.23,6.48,6.2,20.77,44.34,2.76,2.35,3.07,1.53,1.12,0.85,7.65,33.35,30.83,28.92,20.4,25.62,24.19,24.89,11.15,9.89,35.51,49.19,44.01,26.37,25.59,26.25,21.99,38.85,1.56,10.1,10.25,0.85,0.85,11.38,191.55,14.63,35.51,28.89,27.3,2.23,5.26,3.08,3.08,1.19,0.0,5.73
37.55,25.21,22.52,13.61,14.95,5.47,4.53,40.61,10.09,10.48,12.31,7.48,21.6,42.37,7.29,6.88,7.6,7.36,4.66,6.41,1.93,27.59,25.08,23.16,17.65,22.04,18.43,25.72,8.41,7.15,33.54,47.23,41.83,19.32,15.66,16.33,22.83,38.72,5.17,7.29,12.68,6.41,6.41,6.66,188.81,20.46,33.54,26.92,26.77,8.06,11.09,7.6,7.6,6.56,5.73,0.0
